epoch_datetime,X_km,Y_km,Z_km
2023-01-01 18:30:00,-3008.522412,7830.756405,-8971.985687999999
2023-01-01 18:35:00,-2378.883195,9124.809066,-7881.798075000001
2023-01-01 18:40:00,-1652.269477,10217.54279,-6639.469109000001
2023-01-01 18:45:00,-851.7292709999999,11084.935112,-5269.156467
2023-01-01 18:50:00,-2.591616,11708.28653,-3797.404896
2023-01-01 18:55:00,868.2509080000001,12074.630219,-2252.633027
2023-01-01 19:00:00,1733.099939,12177.002776000001,-664.589513
2023-01-01 19:05:00,2564.229317,12014.571107999998,936.2112920000001
2023-01-01 19:10:00,3334.663011,11592.614092,2519.063681
2023-01-01 19:15:00,4018.932942,10922.361137,4053.64462
2023-01-01 19:20:00,4593.797494,10020.693097,5510.577418
2023-01-01 19:25:00,5038.902669,8909.713943,6861.975507
2023-01-01 19:30:00,5337.369449,7616.204318,8081.957376
2023-01-01 19:35:00,5476.292762,6170.970509,9147.124388
2023-01-01 19:40:00,5447.139688,4608.104313,10036.994042999999
2023-01-01 19:45:00,5246.036786000001,2964.1708599999997,10734.382059
2023-01-01 19:50:00,4873.9388930000005,1277.342566,11225.727448000001
2023-01-01 19:55:00,4336.674167,-413.50178000000005,11501.355454
2023-01-01 20:00:00,3644.862679,-2069.693223,11555.673811
2023-01-01 20:05:00,2813.708438,-3653.6841889999996,11387.298345000001
2023-01-01 20:10:00,1862.66741,-5129.935208,10999.104474
2023-01-01 20:15:00,814.9969699999999,-6465.756555,10398.20185
2023-01-01 20:20:00,-302.804807,-7632.08487,9595.830287
2023-01-01 20:25:00,-1461.658598,-8604.175467000001,8607.176197
2023-01-01 20:30:00,-2630.647579,-9362.192097,7451.1099730000005
2023-01-01 20:35:00,-3777.8279350000003,-9891.677465,6149.846267
2023-01-01 20:40:00,-4871.0856890000005,-10183.889836999999,4728.531057
2023-01-01 20:45:00,-5879.016815999999,-10235.994085,3214.7615809999998
2023-01-01 20:50:00,-6771.805717,-10051.099193,1638.047589
2023-01-01 20:55:00,-7522.076057,-9638.138683000001,29.224635
2023-01-01 21:00:00,-8105.6878990000005,-9011.595273,-1580.16789
2023-01-01 21:05:00,-8502.45604,-8191.076226,-3158.529559
2023-01-01 21:10:00,-8696.766527000002,-7200.750991000001,-4674.847008000001
2023-01-01 21:15:00,-8678.071495999999,-6068.667635,-6099.331273
2023-01-01 21:20:00,-8441.246569,-4825.9688080000005,-7404.028566999999
2023-01-01 21:25:00,-7986.799722,-3506.031243,-8563.389683
2023-01-01 21:30:00,-7320.925555,-2143.555045,-9554.784721999999
2023-01-01 21:35:00,-6455.403969999999,-773.6301040000001,-10358.951823000001
2023-01-01 21:40:00,-5407.34713,569.1930550000001,-10960.3708
2023-01-01 21:45:00,-4198.803079,1851.801635,-11347.555054
2023-01-01 21:50:00,-2856.228287,3043.363798,-11513.25749
2023-01-01 21:55:00,-1409.844571,4116.094948,-11454.588451
2023-01-01 22:00:00,107.101579,5045.928329,-11173.045578
2023-01-01 22:05:00,1659.1573349999999,5813.074484,-10674.457251
2023-01-01 22:10:00,3209.538143,6402.4575350000005,-9968.842719
2023-01-01 22:15:00,4721.036323,6804.019775000001,-9070.19333
2023-01-01 22:20:00,6156.940933,7012.889568,-7996.180469
2023-01-01 22:25:00,7481.946229,7029.411071,-6767.7968789999995
2023-01-01 22:30:00,8663.026609999999,6859.037689000001,-5408.938958
2023-01-01 22:35:00,9670.256901,6512.094488,-3945.938525
2023-01-01 22:40:00,10477.558383,6003.417894,-2407.0532289999996
2023-01-01 22:45:00,11063.352872,5351.883867,-821.9253719999999
